Group name,id,Group type,Address line 1,Address line 2,Town/city,County,Country,Postcode,Website,Telephone,Group region,Group parent code
Betsi Cadwaladr University Health Board,99e48440-1fc0-427b-9d83-1b1e73b3f45c,NHS Trust/Health Board,Ysbyty Gwynedd,Penrhosgarnedd,Bangor,Gwynedd,United Kingdom,LL57 2PW,https://bcuhb.nhs.wales/,+44 1248 384 384,North Wales,7A1
Birmingham Women's and Children's NHS Foundation Trust,548384d6-2fa9-4abc-9c1f-6da8d6426755,NHS Trust/Health Board,Birmingham Children's Hospital,,Birmingham,West Midlands,United Kingdom,B4 6NH,,0121 333 9749,West Midlands,RQ3
Blackpool Teaching Hospitals NHS Foundation Trust,487931db-7a8f-410d-b46d-36af3a5c045c,NHS Trust/Health Board,Blackpool Victoria Hospital,,Blackpool,Lancashire,United Kingdom,FY3 8NR,https://www.bfwh.nhs.uk/our-hospitals/blackpool-victoria-hospital/,01253 953661,North West,RXL
Bolton NHS Foundation Trust,c75f1843-fe67-47f6-9bd4-6a4b7deea069,NHS Trust/Health Board,Royal Bolton Hospital,,Farnworth,Greater Manchester,United Kingdom,BL4 0JR,,,North West,RMC
Bradford Teaching Hospitals NHS Foundation Trust,9227c119-a6d5-4d3e-991d-88b96d475311,NHS Trust/Health Board,Bradford Royal Infirmary,,Bradford,West Yorkshire,United Kingdom,BD9 6RJ,https://www.bradfordhospitals.nhs.uk/our-hospitals/bradford-royal-infirmary-bri/,0127 4364132,Yorkshire and the Humber,RAE
Bristol NHS Foundation Trust,578dfe2e-a1f3-41b0-882f-5cab09c9c805,NHS Trust/Health Board,"Trust Headquarters, Marlborough Street",,Bristol,Bristol,United Kingdom,BS1 3NU,https://www.uhbw.nhs.uk/,0117 923 0000,South East & Wessex,RA7
Buckinghamshire Healthcare NHS Trust,f428353f-7ae0-49f3-b49b-580cb9f25e26,NHS Trust/Health Board,Wycombe Hospital,,High Wycombe,Buckinghamshire,United Kingdom,HP11 2TT,https://www.buckshealthcare.nhs.uk/,01494 425189,"Oxfordshire, Berkshire & Buckinghamshire",RXQ
Bupa,18dc6b1e-1843-4535-874d-28914c7a9e3f,Private healthcare/imaging group,1 Angel Court,,London,Greater London,United Kingdom,EC2R 7HJ,https://www.bupa.co.uk/,0345 609 0111,North Thames,
Calderdale and Huddersfield NHS Foundation Trust,f0a120f3-053b-4944-8071-6f9ca72931cb,NHS Trust/Health Board,Huddersfield Royal Infirmary,,Lindley,West Yorkshire,United Kingdom,HD3 3EA,https://www.cht.nhs.uk/patients-visitors/our-hospitals/huddersfield-royal-infirmary-outpatients-at-acre-mills,01484 342085,Yorkshire and the Humber,RWY
Cambridge University Hospitals NHS Foundation Trust,ad78adc1-6bc7-409a-8c64-9a48859d078c,NHS Trust/Health Board,Addenbrooke's Hospital,Hills Road,Cambridge,Cambridgeshire,United Kingdom,CB2 0QQ,http://www.cuh.org.uk/addenbrookes/services/clinical/pet_ct/pet_ct_index.html,01223 217342,East of England,RGT
Cardiff and Vale University Health Board,2c39125b-c31a-41b9-ad48-b654a0046140,NHS Trust/Health Board,University Hospital Llandough,Penlan Road,Penarth,Vale of Glamorgan,United Kingdom,CF64 2XX,https://cavuhb.nhs.wales/hospitals-and-health-centres/our-hospitals/university-hospital-llandough/,029 20716331,South Wales,7A4
Chelsea and Westminster Hospital NHS Foundation Trust,7bceca70-8771-4b9a-88f9-6e24b042f5ca,NHS Trust/Health Board,Chelsea and Westminster Hospital,,London,Greater London,United Kingdom,SW10 9NH,,020 3315 8415,South Thames,RQM
Chesterfield Royal Hospital NHS Foundation Trust,d5e33c17-c645-41d0-829c-a8ab307877c5,NHS Trust/Health Board,Chesterfield Royal Hospital,,Chesterfield,South Yorkshire,United Kingdom,S44 5BL,https://www.chesterfieldroyal.nhs.uk/,01246 512 605,Yorkshire and the Humber,RFS
Circle Health Group Limited,331dec7b-d8fa-471f-a836-430e8d8fdfc1,Private healthcare/imaging group,1st Floor,30 Cannon Street,London,Greater London,United Kingdom,EC4M 6XH,https://www.circlehealthgroup.co.uk/,0808 101 0337,North Thames,
Cobalt Health,01a25c42-0f00-48f8-bd78-3903f6cf9ef6,Private healthcare/imaging group,Thirlestaine Road,,Cheltenham,Gloucestershire,United Kingdom,GL53 7AS,https://www.cobalthealth.co.uk/,01242 535900,South East & Wessex,
Countess of Chester Hospital NHS Foundation Trust,f9da5b2a-89d2-4723-825c-9156fd77c907,NHS Trust/Health Board,Countess of Chester Hospital,,Chester,Cheshire,United Kingdom,CH2 1UL,https://www.coch.nhs.uk/all-services/radiology.aspx?utm_source=chatgpt.com,01244 365000,North West,RJR
County Durham and Darlington NHS Foundation Trust,46f4172c-282e-4a38-9e2a-de81fdeebb41,NHS Trust/Health Board,Darlington Memorial Hospital,Hollyhurst Road,Darlington,County Durham,United Kingdom,DL3 6HX,https://www.cddft.nhs.uk/,+44 1325 380 100,North East,RXP
Croydon Health Services NHS Trust,b163db18-7054-44b5-9196-bbc171811269,NHS Trust/Health Board,Croydon University Hospital,530 London Road,Croydon,Greater London,United Kingdom,CR7 7YE,https://www.croydonhealthservices.nhs.uk/contact-us,020 8401 3000,South Thames,RJ6
Cwm Taf Morgannwg University Health Board,d113ad3e-9088-485f-b565-7598db07005b,NHS Trust/Health Board,Princess of Wales Hospital Bridgend,,Bridgend,Bridgend,United Kingdom,CF31 1RQ,,01656 752447,South Wales,7A5
Dartford and Gravesham NHS Trust,960ddf5c-bf74-4f1b-b25e-ac0d6c357ed7,NHS Trust/Health Board,Darent Valley Hospital,,Dartford,Kent,United Kingdom,DA2 8DA,http://www.ncuh.nhs.uk,01322 428559,South East & Wessex,RN7
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,74ac1e3d-e4e7-4bed-b04c-ec133ad2d177,NHS Trust/Health Board,Doncaster Royal Infirmary,,Doncaster,South Yorkshire,United Kingdom,DN2 5LT,,01302 644539,Yorkshire and the Humber,RP5
Dorset County Hospital NHS Foundation Trust,d02248da-265e-4064-949c-992701395747,NHS Trust/Health Board,Dorset County Hospital,Williams Avenue,Dorchester,Dorset,United Kingdom,DT1 2JY,https://dchft.nhs.uk/about-us/contact-us/,01305 251150,South East & Wessex,RBD
East and North Hertfordshire Teaching NHS Trust,415d9e2e-1eb4-4629-ab67-ea38de70ed09,NHS Trust/Health Board,Lister Hospital,,Stevenage,Hertfordshire,United Kingdom,SG1 4AB,http://www.ulh.nhs.uk,01438 284859,North Thames,RWH
East Cheshire NHS Trust,6e06500a-78d2-4c64-88c0-c7e9aad035e6,NHS Trust/Health Board,Macclesfield District General Hospital,Victoria Road,Macclesfield,Cheshire,United Kingdom,SK10 3BL,https://www.eastcheshire.nhs.uk/,01625 421000,North Thames,RJN
East Kent Hospitals University NHS Foundation Trust,7c65d5b1-4337-4363-ad94-b179dbe0622f,NHS Trust/Health Board,Kent & Canterbury Hospital,,Canterbury,Kent,United Kingdom,CT1 3XL,http://www.oxfordradcliffe.nhs.uk/forpatients/departments/radiology/radiology.aspx,01227 864258,South East & Wessex,RVV
East Lancashire Hospitals NHS Trust,9a863b95-5212-4fec-9199-04b7aa514a85,NHS Trust/Health Board,Royal Blackburn Hospital,,Blackburn,Lancashire,United Kingdom,BB2 3HH,http://www.royalberkshire.nhs.uk,01254 735303,North West,RXR
East Suffolk and North Essex NHS Foundation Trust,9179b762-e7d4-434c-b989-1d52b408b502,NHS Trust/Health Board,Colchester Hospital,,Colchester,Essex,United Kingdom,CO4 5JL,https://www.esneft.nhs.uk/service/nuclear-medicine/,01206 742367,East of England,RDE
East Sussex Healthcare NHS Trust,b06c2b1a-11ba-4276-9b86-4b21228fa927,NHS Trust/Health Board,Conquest Hospital,,St Leonards-on-Sea,East Sussex,United Kingdom,TN37 7RD,https://www.esht.nhs.uk/conquest-hospital/,0300 131 5147,South East & Wessex,RXC
Epsom and St Helier University Hospitals NHS Trust,26facfe3-f928-4a02-9020-05e88867ef87,NHS Trust/Health Board,St Helier Hospital,,Carshalton,Surrey,United Kingdom,SM5 1AA,https://www.epsom-sthelier.nhs.uk,0208 296 4321,South Thames,RVR
Frimley Health NHS Foundation Trust,92e96b50-a712-43f9-8015-b72125e33c68,NHS Trust/Health Board,Frimley Park Hospital,Portsmouth Road,Frimley,Surrey,United Kingdom,GU16 7UJ,https://www.fhft.nhs.uk/,+44 3003 561 900,South East & Wessex,RDU
Gateshead Health NHS Foundation Trust,61211a28-dcd3-41ca-a2c9-3481c4c02761,NHS Trust/Health Board,Queen Elizabeth Hospital,,Gateshead,Tyne and Wear,United Kingdom,NE9 6SX,http://www.uhb.nhs.uk/nuclear-medicine.htm,0191 445 2710,North East,RR7
Gloucestershire Hospitals NHS Foundation Trust,ed12f325-10a7-4909-a989-b295a6365a53,NHS Trust/Health Board,Cheltenham General Hospital,Sandford Road,Cheltenham,Gloucestershire,United Kingdom,GL53 7AN,https://www.gloshospitals.nhs.uk/,+44 3004 222 222,South East & Wessex,RTE
Great Ormond Street Hospital for Children NHS Foundation Trust,6f0a34dc-5b70-49b8-a6c1-58770faf9d76,NHS Trust/Health Board,Great Ormond Street,,London,Greater London,United Kingdom,WC1N 3JH,https://www.gosh.nhs.uk/,+44 2074 059 200,North Thames,RP4
Great Western Hospitals NHS Foundation Trust,11ff643d-8dcd-4734-912c-a00ca1f16da9,NHS Trust/Health Board,Great Western Hospital,,Swindon,Wiltshire,United Kingdom,SN3 6BB,http://www.gosh.nhs.uk,01793 605045,South East & Wessex,RN3
Guy's and St Thomas' NHS Foundation Trust,03b32029-4337-4c02-a098-ef8a12216bc5,NHS Trust/Health Board,Guy's Hospital,,London,Greater London,United Kingdom,SE1 9RT,http://www.gwh.nhs.uk,02071887188,South Thames,RJ1
Hampshire Hospitals NHS Foundation Trust,4c5ee41b-3267-4359-b7de-6d20fe52b15d,NHS Trust/Health Board,Basingstoke and North Hampshire Hospital,,Basingstoke,Hampshire,United Kingdom,RG24 9NA,,01256 313368,South East & Wessex,RN5
Harrogate and District NHS Foundation Trust,9020ff17-11f8-4de9-a17f-dbc28e4093b4,NHS Trust/Health Board,Harrogate District Hospital,Lancaster Park Road,Harrogate,North Yorkshire,United Kingdom,HG1 4PA,http://www.rbht.nhs.uk/healthprofessionals/clinical-departments/imaging/harefield-nuclear-medicine,01423 885959,Yorkshire and the Humber,RCD
HCA Healthcare UK,79e2e626-20c1-403c-ac81-2a7e42d924fa,Private healthcare/imaging group,2 Cavendish Square,,London,Greater London,United Kingdom,W1G 0PU,https://www.hcahealthcare.co.uk/,020 7079 4344,North Thames,
Hull University Teaching Hospitals NHS Trust,4bd27064-9a19-4b58-9c30-6f3f1ff13771,NHS Trust/Health Board,Castle Hill Hospital,,Cottingham,East Riding of Yorkshire,United Kingdom,HU16 5JQ,https://www.hey.nhs.uk/hospitals/castle-hill-hospital/,01482 623201,Yorkshire and the Humber,RWA
Hywel Dda University Health Board,614f91b4-867c-44bb-b18f-de6d46b23aba,NHS Trust/Health Board,Withybush General Hospital,,Haverfordwest,South Wales,United Kingdom,SA61 2PZ,https://hduhb.nhs.wales/,01437 773567,South Wales,7A2
Imperial College Healthcare NHS Trust,7e2c6cc1-82f7-4c9c-bcd5-7c4a640fe28e,NHS Trust/Health Board,Charing Cross Hospital,,London,Greater London,United Kingdom,W6 8RF,https://www.imperial.nhs.uk/our-locations/charing-cross-hospital,02033130595,North Thames,RYJ
InHealth Group,8a544cfc-3224-4cdb-b240-c0301d32ea88,Private healthcare/imaging group,Burnham Yard,London End,Beaconsfield,Buckinghamshire,United Kingdom,HP9 2JH,https://www.inhealthgroup.com/,01494 560000,"Oxfordshire, Berkshire & Buckinghamshire",
James Paget University Hospitals NHS Foundation Trust,c4860881-c407-4e59-85c3-6066a88dc7d6,NHS Trust/Health Board,Lowestoft Road,,Gorleston-on-Sea,Norfolk,United Kingdom,NR31 6LA,https://www.jpaget.nhs.uk/,01493 452452,North Thames,RGP
Kettering General Hospital NHS Foundation Trust,59441c75-0eac-45ce-85e1-2df37a0a4ea5,NHS Trust/Health Board,Kettering General Hospital,,Kettering,Northamptonshire,United Kingdom,NN16 8UZ,,,East Midlands,RNQ
King's College Hospital NHS Foundation Trust,c37a6626-859d-4c00-8fa3-d41be47b9d40,NHS Trust/Health Board,King's College Hospital,,London,Greater London,United Kingdom,SE5 9RS,,020 3299 3153,South Thames,RJZ
Kingston and Richmond NHS Foundation Trust,a22840fb-56a4-4f34-953b-cf5a6652b97e,NHS Trust/Health Board,Kingston Hospital,,Kingston-upon-Thames,Surrey,United Kingdom,KT2 7QB,www.sfh-tr.nhs.uk,0208 934 6390,South Thames,RAX
Lancashire Teaching Hospitals NHS Foundation Trust,98f709c3-88ef-4dbd-9198-3eaf82982b14,NHS Trust/Health Board,Royal Preston Hospital,,Preston,Lancashire,United Kingdom,PR2 9HT,https://www.lancsteachinghospitals.nhs.uk/royal-preston-hospital,01772 522381,North West,RXN
Leeds Teaching Hospitals NHS Trust,3e1b33f5-2782-482c-ab45-f6145b459fa7,NHS Trust/Health Board,Leeds General Infirmary,,Leeds,West Yorkshire,United Kingdom,LS1 3EX,https://www.leedsth.nhs.uk/services/radiology/contact-us/,0113 392 5473,Yorkshire and the Humber,RR8
Lewisham and Greenwich NHS Trust,1f704e92-3f31-4be2-8259-789f8d14de27,NHS Trust/Health Board,Queen Elizabeth Hospital (Woolwich),,Woolwich,Greater London,United Kingdom,SE18 4QH,https://www.nhsggc.scot/hospitals-services/hospitals/queen-elizabeth-university-hospital/,,South Thames,RJ2
Liverpool University Hospitals NHS Foundation Trust,4c56a424-127f-4a9a-8170-eb68e35cac65,NHS Trust/Health Board,Aintree University Hospital,,Liverpool,Merseyside,United Kingdom,L9 7AL,https://www.uhliverpool.nhs.uk/,0151 529 2965,North West,REM
London North West University Healthcare NHS Trust,42b12934-e390-4bef-a05e-454072bb65e0,NHS Trust/Health Board,Northwick Park Hospital,,Harrow,Greater London,United Kingdom,HA1 3UJ,https://www.lnwh.nhs.uk/northwick-park-hospital,020 8869 3891,North Thames,R1K
Maidstone and Tunbridge Wells NHS Trust,c09dfe4a-45b8-4c95-8d1f-1d9bea7a05a8,NHS Trust/Health Board,Maidstone Hospital,,Maidstone,Kent,United Kingdom,ME16 9QQ,,01622 225047,South East & Wessex,RWF
Manchester University NHS Foundation Trust,ded59f71-0658-4d81-b93d-d5fdbddb0c68,NHS Trust/Health Board,Manchester Royal Infirmary,,Manchester,Greater Manchester,United Kingdom,M13 9WL,https://mft.nhs.uk,01612766245,North West,R0A
Manx Care,0df7f7ba-d88d-471d-b39c-ea9f7f814e67,Private healthcare/imaging group,Strang,,Braddan,Isle of Man,United Kingdom,IM4 4RJ,https://www.manxcare.im/,01624 650000,Overseas,
Medway NHS Foundation Trust,8839ea91-70b7-439f-b09e-acd466ca9f86,NHS Trust/Health Board,Medway Maritime Hospital,,Gillingham,Kent,United Kingdom,ME7 5NY,http://www.medway.nhs.uk/for-patients/patient-information/nuclear-medicine/,01634 833899,South East & Wessex,RPA
Mersey and West Lancashire Teaching Hospitals NHS Trust,1a2cf238-90aa-4644-a4c1-e345ebfcf83c,NHS Trust/Health Board,Whiston Hospital,Warrington Road,Prescot,Merseyside,United Kingdom,L35 5DR,https://www.merseywestlancs.nhs.uk/,+44 1514 261 600,North West,RBN
Mid and South Essex NHS Foundation Trust,dd2cf90b-86a8-48ad-84c9-7dc7334b9248,NHS Trust/Health Board,Basildon University Hospital,,Basildon,Essex,United Kingdom,SS16 5NL,,01268 524900 x3626,East of England,RAJ
Mid Cheshire Hospitals NHS Foundation Trust,48cb180f-8261-4a23-9476-ba8ad2582726,NHS Trust/Health Board,Leighton Hospital,Middlewich Road,Crewe,Cheshire,United Kingdom,CW1 4QJ,https://www.mcht.nhs.uk/,01270 255141,North West,RBT
Mid Yorkshire Teaching NHS Trust,ad3df95d-dece-40de-8307-4c6cddfea007,NHS Trust/Health Board,Trust Headquarters and Education Centre,"Pinderfields Hospital, Aberford Road",Wakefield,West Yorkshire,United Kingdom,WF1 4DG,https://www.midyorks.nhs.uk/,01924 541000,North Thames,RXF
Milton Keynes University Hospital NHS Foundation Trust,38bcafe8-8fd3-4e79-b287-00d284def176,NHS Trust/Health Board,Milton Keynes University Hospital,"Standing Way, Eaglestone",Milton Keynes,Buckinghamshire,United Kingdom,MK6 5LD,https://www.mkuh.nhs.uk/,01908 660033,North West,RD8
"New Victoria Hospital, Kingston â€“ part of Bupa",90efca5e-0272-46ef-9831-67ef26cb4653,Private healthcare/imaging group,184 Coombe Lane West,,Kingston upon Thames,Surrey,United Kingdom,KT2 7EG,https://www.newvictoria.co.uk/,020 8949 9000,South Thames,
Newcastle upon Tyne Hospitals NHS Foundation Trust,8152d46b-86c0-41d7-8673-b4b95ca80cac,NHS Trust/Health Board,Freeman Hospital,,Newcastle upon Tyne,Tyne and Wear,United Kingdom,NE7 7DN,http://www.newcastle-hospitals.org.uk/services/radiology.aspx,0191 2138200,North East,RTD
NHS Ayrshire and Arran,f9dc60d7-f801-44ad-b7c0-9a685ee6e948,NHS Trust/Health Board,Crosshouse Hospital,,Ayrshire,Ayrshire,United Kingdom,KA2 0BE,https://www.nhsaaa.net/,01563 577456,Scotland,S08000015
NHS Borders,a27a7700-f26c-4816-88ca-43fe784b8ed8,NHS Trust/Health Board,Borders General Hospital,,Melrose,Scottish Borders,United Kingdom,TD6 9BS,,01896826430,Scotland,S08000016
NHS Dumfries and Galloway,f94c5429-565b-4b6f-a478-ab6e2689bc9a,NHS Trust/Health Board,Mountainhall Treatment Centre,Bankend Road,Dumfries,Dumfries and Galloway,United Kingdom,DG1 4AP,https://www.nhsdg.co.uk/contact/,01387 246246,Scotland,S08000017
NHS Fife,da96fc27-f73c-4b6f-a9c2-4ec5e1458fd4,NHS Trust/Health Board,Victoria Hospital Kirkcaldy,,Kirkaldy,Fife,United Kingdom,KY2 5AH,https://www.nhsfife.org/,01592 261976,Scotland,S08000029
NHS Forth Valley,406c9d71-2833-46a2-a30d-4b6d5f9ea845,NHS Trust/Health Board,Forth Valley Royal Hospital,Stirling Road,Larbert,Stirlingshire,United Kingdom,FK5 4WR,https://nhsforthvalley.com/hospitals/forth-valley-royal-hospital/,01324 566000,Scotland,S08000019
NHS Grampian,427821ed-b70d-470c-afc9-4ddbc79e3a49,NHS Trust/Health Board,Aberdeen Royal Infirmary,Foresterhill Road,Aberdeen,Aberdeen City,United Kingdom,AB25 2ZN,https://www.nhsgrampian.org/hospital-hub/aberdeen-royal-infirmary/,0345 456 6000,Scotland,S08000020
NHS Greater Glasgow and Clyde,9c9bbc5e-c8bf-4226-a6fc-ce0836b57235,NHS Trust/Health Board,J B Russell House,"Gartnavel Royal Hospital, 1055 Great Western Road",Glasgow,Glasgow City,United Kingdom,G12 0XH,https://www.nhsggc.scot/,+44 1412 010 000,Scotland,S08000031
NHS Highland,e6982160-161c-4031-ba3b-9ab7945c4cba,NHS Trust/Health Board,Raigmore Hospital,,Inverness,Highland,United Kingdom,IV2 3UJ,https://www.nuh.nhs.uk/nuclear-medicine,01463 705232,Scotland,S08000022
NHS Lanarkshire,ed8ef399-5045-49c3-8e91-231612ec7088,NHS Trust/Health Board,University Hospital Monklands,,Airdrie,Lanarkshire,United Kingdom,ML6 0JS,https://www.nhslanarkshire.scot.nhs.uk/,01698752096,Scotland,S08000032
NHS Lothian,0d9490c6-1e91-433d-84e8-8fc62ad59238,NHS Trust/Health Board,Royal Hospital for Children and Young People,,Edinburgh,City of Edinburgh,United Kingdom,EH9 1LF,https://www.nhslothian.scot/Hospitals/RHCYP/,,Scotland,S08000024
NHS Tayside,f522ee36-63e9-4297-81ca-c61e01d192e1,NHS Trust/Health Board,Ninewells Hospital,,Dundee,Dundee City,United Kingdom,DD1 9SY,http://www.dundee.ac.uk/medphys/nuclearmedicinephysics/,01382 633888,Scotland,S08000030
Norfolk and Norwich University Hospitals NHS Foundation Trust,e65d3bb4-2984-4ad4-b765-7378e19dfb09,NHS Trust/Health Board,Norfolk & Norwich University Hospital,,Norwich,Norfolk,United Kingdom,NR4 7UY,https://www.nnuh.nhs.uk/,01603 286808,East of England,RM1
North Cumbria Integrated Care NHS Foundation Trust,4a1d4401-726e-4fa8-98e2-fba6eecbb4fd,NHS Trust/Health Board,Cumberland Infirmary,,Carlisle,Cumbria,United Kingdom,CA2 7HY,http://www.ncuh.nhs.uk,01228 814701,North West,RNN
North Tees and Hartlepool NHS Foundation Trust,6bbfe7c9-8cb4-4f7d-b3df-3681803bb33a,NHS Trust/Health Board,University Hospital of Hartlepool,,Hartlepool,North Yorkshire,United Kingdom,TS24 9AH,https://www.nth.nhs.uk/hospitals/university-hospital-of-hartlepool/,01429-522681,North East,RVW
North West Anglia NHS Foundation Trust,d5500636-6061-4049-995d-2802ce4cfeb3,NHS Trust/Health Board,Peterborough City Hospital,,Peterborough,Cambridgeshire,United Kingdom,PE3 9GZ,,01733 874420,East of England,RGN
Northampton General Hospital NHS Trust,18730d8f-dce4-476b-93d0-f9d0eaf97dfe,NHS Trust/Health Board,Northampton General Hospital,,Northampton,Northamptonshire,United Kingdom,NN1 5BD,https://www.northamptongeneral.nhs.uk/home.aspx,01604 545449,East Midlands,RNS
Northern Care Alliance NHS Foundation Trust,c1c06b70-9d86-4a1e-8594-99be3aee4c11,NHS Trust/Health Board,Salford Royal Hospital,,Salford,Greater Manchester,United Kingdom,M6 8HD,https://www.northerncarealliance.nhs.uk/patient-information/getting-here/salford-royal,0161 206 4861,North West,RM3
Northern Health and Social Care Trust,036b3d8e-b767-4397-9bcc-feefc7e6b797,NHS Trust/Health Board,Antrim Area Hospital,,Antrim,Antrim,United Kingdom,BT41 2RL,,028 94424000 EXT2223,Northern Ireland,NHSCT
Northern Lincolnshire and Goole NHS Foundation Trust,bceae16f-38a3-4407-86eb-3f5daaeb7580,NHS Trust/Health Board,"Diana, Princess of Wales Hospital",,Grimsby,South Yorkshire,United Kingdom,DN33 2BA,https://www.nlg.nhs.uk/hospitals/diana-princess-of-wales-hospital/,03033 304534,Yorkshire and the Humber,RJL
Northumbria Healthcare NHS Foundation Trust,7624322f-55e6-4a58-96a0-91dd685e9ad5,NHS Trust/Health Board,North Tyneside General Hospital,Rake Lane,North Shields,Tyne and Wear,United Kingdom,NE29 8NH,https://www.northumbria.nhs.uk/,+44 3003 031 000,North Thames,RTF
Nottingham University Hospitals NHS Trust,6f38f0f0-3281-4f8c-b555-e01dd04bb83d,NHS Trust/Health Board,Nottingham City Hospital,,Nottingham,Nottinghamshire,United Kingdom,NG5 1PB,https://www.nuh.nhs.uk/nuclear-medicine,0115 9691169 x55497,East Midlands,RX1
Oxford University Hospitals NHS Foundation Trust,5fdec2ec-9e07-4490-97d6-056229171756,NHS Trust/Health Board,John Radcliffe Hospital,Headley Way,Oxford,Oxfordshire,United Kingdom,OX3 9DU,https://www.ouh.nhs.uk/,+44 3003 047 777,"Oxfordshire, Berkshire & Buckinghamshire",RTH
Perceptive,fb3f9e9d-a805-4c33-a0b8-83699b61260b,Private healthcare/imaging group,58 Grosvenor Street,,London,Greater London,United Kingdom,W1K 3JB,https://www.perceptive.com/,0115 937 0000,North Thames,
Portsmouth Hospitals University NHS Trust,ee2a6749-5374-4472-9400-46d15616e20c,NHS Trust/Health Board,Queen Alexandra Hospital,,Portsmouth,Hampshire,United Kingdom,PO6 3LY,,023 9228 3276,South East & Wessex,RHU
Royal Berkshire NHS Foundation Trust,347531bc-8cbb-4c28-a704-55f6093e2646,NHS Trust/Health Board,Royal Berkshire Hospital,,Reading,Berkshire,United Kingdom,RG1 5AN,,0118 322 7355,"Oxfordshire, Berkshire & Buckinghamshire",RHW
Royal Cornwall Hospitals NHS Trust,e3d9ec56-3b4e-4661-8975-e8e6fc15f4d9,NHS Trust/Health Board,Royal Cornwall Hospital,,Truro,Cornwall,United Kingdom,TR1 3LJ,http://www.rbht.nhs.uk/healthprofessionals/clinical-departments/imaging/brompton-nuclear-medicine,01872 252330,South East & Wessex,REF
Royal Devon University Healthcare NHS Foundation Trust,6d7dc50b-f79b-4f89-be01-56705a1280fd,NHS Trust/Health Board,Royal Devon and Exeter Hospital,Barrack Road,Exeter,Devon,United Kingdom,EX2 5DW,https://www.royaldevon.nhs.uk/,+44 1392 411 611,North Thames,RH8
Royal Free London NHS Foundation Trust,20565812-5892-4025-89a9-479f93aaf4c5,NHS Trust/Health Board,Barnet Hospital,,Barnet,Hertfordshire,United Kingdom,EN5 3DJ,https://www.royalfree.nhs.uk/services/nuclear-medicine,020 8216 5115,North Thames,RAL
