Video URL;Title;Brief Description;Date uploaded;Member Only;Collection;Resource Type;Bone;Cardiovascular;Careers;Coding & HRGs;Diagnostics;Educational;Endocrinology;Equipment;Gastro;Haematology;Infection;Lung;Management;Management and Workforce;Molecular Radiotherapy;Neurology;Oncology;Paediatrics;PET and PET-CT;Physics – dosimetry;Physics – imaging science;Physics – radiation protection;Radiopharmaceutical Development;Radiopharmacy;Renal;Therapeutic;Thyroid;Training;Working in NM
https://www.youtube.com/watch?v=LRwb9DfDF0Y&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=10;An Interview with Christina Siakalli at the Spring Meeting 2025;At the Spring Meeting 2025, we sat down with Christina, PhD in Chemistry Research at Imperial College London, to hear about her journey into nuclear medicine, why she chose this exciting field, and her perspective on the value of this year’s meeting.; 15 Sept 2025;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=8Ble_jbXACk&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=11;Hannah Chandler on Nuclear Medicine | BNMS Spring Meeting 2025;"In this interview, Hannah Chandler, Radiographer at London North West University Healthcare NHS Trust, shares her experience in Nuclear Medicine, her professional background, and her thoughts on the BNMS Spring Meeting 2025 and future. 
";Sep-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=PVPOgO92PEo&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=12;BNMS Spring Meeting 2025 | Prof Richard Underwood – Myocardial Perfusion Scintigraphy SPECT;"Recording from the BNMS Spring Meeting 2025 in Glasgow.
In this session, Prof Richard Underwood (Imperial College London) discusses why Myocardial Perfusion Scintigraphy (SPECT) continues to be the workhorse for ischaemia testing, exploring its role, value, and future in clinical practice."; 10 Sept 2025 ;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=BRaEhPWgM3g&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=13;BNMS Spring 2025 Highlights | Glasgow ;"We are bringing you the best moments from BNMS Spring 2025 in Glasgow!
From the Cardiac Session, Prostate Cancer Theragnostics, and “What is the Best Tracer for Molecular Brain Tumour Imaging?” to Cutting Edge Research — and so much more still to come.";Sep-25;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=S7j788aGvRs&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=14;Dr. Ian Armstrong: My Journey in Nuclear Medicine | BNMS Spring Meeting 2025;"In this insightful session from the BNMS Annual Spring Meeting 2025, Dr. Ian Armstrong, Consultant Physicist at Manchester Royal Infirmary and Co-Chair of the BNMS Scientific and Educational Committee, shares his inspiring journey in the field of Nuclear Medicine.

Dr. Armstrong reflects on the evolution of his career, the advancements in medical physics, and the importance of education and collaboration in shaping the future of the specialty.
";  8 Sept 2025;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=8x7ZXcbH7Bc&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=15;Poster Highlights: Spring Meeting 2025 with Mr Robin McDade;Join Mr Robin McDade, Technologist at Glasgow Royal Infirmary, as he shares the key poster highlights from the BNMS Spring Meeting 2025. Explore the latest innovations and insights shaping the future of nuclear medicine, and stay tuned for more exclusive videos from the event.;Sep-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=lCabLvovHXY&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=16;Highlights RTN from BNMS Spring Meeting 2025 – Monica Martins;Monica Martins, Clinical Team Lead in Nuclear Medicine (NM) and IR(ME)R Practitioner for DXA at Singleton Hospital, presents the key highlights from the BNMS Spring Meeting 2025, focusing on the RTN. In this session, she explores strategies to improve pediatric PET-CT services, advances in fluoromethylcholine parathyroid imaging, and shares important cross-cutting themes and recommendations for clinical practice.;Sep-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
https://www.youtube.com/watch?v=xjQUVDSENZQ&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=17;Carla Abreu Shares Her Journey in Nuclear Medicine | BNMS Annual Spring Meeting 2025;Join Carla Abreu, site setup specialist at Perceptive, as she shares her experience from the BNMS Annual Spring Meeting. In this video, Carla reflects on her career in Nuclear Medicine, highlights the latest developments in the field, and offers insights into what inspires her work. Whether you’re a fellow professional or simply curious about the world of Nuclear Medicine, Carla’s story is both informative and inspiring.;  1 Sept 2025;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://www.youtube.com/watch?v=11nGO8sli9A&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=18;Highlights from the Spring Meeting 2025 | Prof Richard Graham|Clinical;"Discover the clinical highlights from the Spring Meeting 2025 in Glasgow (19–21 May 2025).
In this session, Prof Richard Graham (Royal United Hospital Bath) shares the latest clinical updates and key insights from the field, offering valuable perspectives for advancing practice and research.

This recording is particularly relevant for clinical scientists, medical researchers, and healthcare professionals aiming to stay at the forefront of emerging trends, innovation, and clinical applications.";  28 Aug 2025 ;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=2Br6EqOSUUM&list=PLjFEVVfFws0S1fjfdbDYqnEZoWvmPNm9Z&index=19;Highlights from the Spring Meeting 2025 | Dr Alice Nicol | Scientific;"Discover the scientific highlights from the Spring Meeting 2025 held in Glasgow (19–21 May 2025).
In this recording, Dr Alice Nicol, Consultant Clinical Scientist at NHS Greater Glasgow and Clyde, presents the latest scientific updates and key insights.
";Aug-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/ovhiksQZ5vI;Nuclear medicine in cardiac amyloidosis: an update and future directions - Prof Dragana Saranovic;"Join Professor Dragana Sobic-Saranovic, Centre of Serbia, School of Medicine, University of Belgrade, for an insightful presentation on “Nuclear Medicine in Cardiac Amyloidosis: An Update and Future Directions.”

In this talk, Professor Sobic-Saranovic explores the latest advances in nuclear medicine imaging for cardiac amyloidosis, including current clinical applications, emerging techniques, and future research directions that may further improve diagnosis and patient management.
";Jan-26;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/S4fBE1bUaNE;CCK2-Based Theragnostics: Insights from Prof. Irene Virgolini;"Join Prof. Irene Virgolini from the Medical University of Innsbruck as she explores the latest developments in CCK2-based theragnostics.

This presentation was recorded during the BNMS Spring Meeting 2025 in Glasgow, where leading experts gathered to discuss the expanding role of nuclear medicine in cancer diagnosis, treatment planning, and personalised patient care.

This session is particularly valuable for professionals working in oncology, nuclear medicine, theragnostics, and multidisciplinary cancer management";Dec-25;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/bmVS5Vv7g00;BNMS Multidisciplinary Reporting Webinar – Implementation of REALM in Nuclear Medicine;"We are especially grateful to our speakers, Dr David Little (Royal United Hospital) and Dr Emma Owens (Eastbourne District General Hospital), as well as our panel and all attendees, for making the session such a success.

This session focused on “Implementation of REALM in Nuclear Medicine” with the following objectives:
";Dec-25;Yes;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/IEj-WA6Y0PA;Spotlight Interview: Richard Graham & Robin McCade – BNMS Spring Meeting 2025;"Join us for an exclusive interview with Richard Graham (Royal United Hospital) and Robin McCade (Glasgow Royal Infirmary), discussing the clinical and poster highlights at the BNMS Spring Meeting 2025.

";Nov-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/1hiZOfL6mow;Dr. Kshama Wechalekar | Insights from BNMS Spring Meetings & Favourite Isotopes;"Join Dr. Kshama Wechalekar from the Department of Nuclear Medicine at Royal Brompton Hospital as she shares her expert insights, experiences, and thoughts from the BNMS Spring Meetings. She also talks about her favourite isotopes and highlights key trends in nuclear medicine.
";28/10/25;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtube.com/live/X4ER-jDggZ4;BNMS Annual Spring Meeting - AGM live stream;"Exciting News: First-Ever Live Stream of the AGM at the Spring Meeting 2025 in Glasgow!
For the first time in our history, we are thrilled to announce that members will be able to watch the Annual General Meeting (AGM) live from anywhere in the world! This milestone marks a new era of accessibility and engagement, allowing all members to stay informed and participate in real-time, no matter where they are located.
The AGM will take place during the Spring Meeting 2025 in Glasgow and will be streamed live on YouTube, making it easier than ever to tune in and be part of this important event.";May-25;Yes;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/pYH2X8v3tG4;Dr Panithaya Chareonthaitawee ASNC President | Insights on Nuclear Cardiology & More;Join us for an exclusive conversation with Dr Panithaya Chareonthaitawee, newly installed 2025 President of the American Society of Nuclear Cardiology (ASNC) and esteemed consultant from the Mayo Clinic.;Jul-25;Yes;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtube.com/shorts/HwISH8aOlEA;BNMS 2025 | Glasgow;"Mariana Pinto (PET chief Technologist at the Belfast Trust and secretary to the BNMS RTN committee) would like to Welcome you all to  Glasgow for the BNMS Spring Meeting in May 2025. 

";Mar-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtube.com/shorts/jpyHwZA-4vc;Welcome to the Spring Meeting 2025 in Glasgow;"

In this Short, Dr. Simon and Dr. Ian explore the venue, share their excitement, and give you a glimpse of what to expect at this year’s Spring Meeting. Whether it is insightful talks, networking opportunities, or exciting new developments in the field, they can not wait to see you there!
";Apr-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtube.com/shorts/MvsaxELUr8w;BNMS Spring Meeting 2025;This highlights video captures the energy and excitement of the event—from the dynamic Exhibition Hall, where industry leaders and innovators connect, to the engaging Social Media Area, buzzing with real-time updates, interviews, and photo ops. Get a front-row seat to insightful scientific sessions, thought-provoking discussions, and networking moments that define the spirit of collaboration. Whether you attended in person or are catching up from afar, this is your chance to relive the best of the Spring Meeting experience.;May-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/zoz9nLeL7FI;AI In Nuclear Medicine – Current State And Future Trends;"AI in Nuclear Medicine: Current Landscape and Emerging Trends
Presented by Mr. Richard Meades, Royal Free London NHS Foundation Trust

Explore how artificial intelligence is transforming nuclear medicine—from enhancing diagnostic accuracy and image interpretation to streamlining workflows and personalizing patient care. This session will provide an overview of the current applications of AI in clinical practice, examine cutting-edge developments, and discuss future trends poised to redefine the field. Join Mr. Richard Meades as he offers expert insights into the integration of AI technologies within nuclear medicine and their potential to revolutionize patient outcomes.";Jun-25;Yes;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/VA6nKTCWyz8;Neuromuscular Gastric Dysfunction and Enteric Dysmotility;"Neuromuscular Gastric Dysfunction and Enteric Dysmotility: The Role of Scintigraphy and Management Challenges
Presented by Dr. John Frost, The Dudley Group NHS Foundation Trust

This session delves into the complex realm of gastric and enteric motility disorders, highlighting the critical role of scintigraphy in diagnosis. Dr. John Frost will explore how neuromuscular dysfunction affects gastrointestinal transit, discuss key diagnostic insights provided by nuclear medicine, and examine common pitfalls and challenges in clinical management. The presentation aims to enhance understanding of these difficult-to-manage conditions and guide more accurate, effective patient care.";Jun-25;Yes;Events;Videos;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
https://youtu.be/pmGBXZ2f2C0;BNMS Spring Meeting 2025 Highlights | Insights from the Scientific Committee;"Join Simon, Carla, and Ian — the Scientific Committee Chairs — as they share key highlights and reflections from the BNMS Annual Spring Meeting 2025, held in vibrant Glasgow. From groundbreaking sessions to networking events, discover what made this year's meeting truly special.
";Jul-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/C2Aaskbri6s;Meet Chinny Mercado – Technologist at Sheffield Teaching Hospital!;"In this video, Chinny Mercado, a skilled technologist specializing in nuclear medicine, shares her valuable insights into the profession. Discover what drew her to nuclear medicine, her thoughts on the future of the field, and her perspective on the BNMS (British Nuclear Medicine Society) organization.

";Jul-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/xymX96B89aU;Lauren Stevenson on the Future of Nuclear Medicine and the BNMS Legacy;We spoke with Lauren Stevenson (Gartnavel General Hospital) about her journey into the field of Nuclear Medicine and what inspired her to pursue it as a career. She shared her impressions of the recent BNMS Convention in Glasgow and reflected on the enduring success of the British Nuclear Medicine Society—what has contributed to its achievements over the years and what lies ahead for the future of the field. As a fun bonus, we asked Lauren to name her favorite isotope and explain why it stands out to her.;Jul-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/Yc-0KFvr4JY;Lucy’s Journey: Choosing Nuclear Medicine & Insights from the BNMS Spring Meeting in Glasgow;Lucy works as a Nuclear Medicine Technologist at Sheffield Teaching Hospital. In this interview, she shares her reasons for choosing nuclear medicine as a profession and her thoughts on the future of the field. Lucy also discusses her impressions of the recently concluded BNMS Spring Meeting in Glasgow and the evolving landscape of nuclear medicine.;Aug-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/DMbwApaW498;From Leadership to Legacy: BNMS Presidential Handover;"Ms. Jilly Croasdale, Past President of the British Nuclear Medicine Society (2023–2025) and Head of the Radiopharmacy Section at Birmingham City Hospital, has led the Society through a period of growth, innovation, and strengthened collaboration. Under her guidance, the Council made significant strides in advancing the Society’s mission and shaping its future.

Now, she passes the leadership baton to Professor Sabina Dizdarevic of Royal Sussex County Hospital, who steps in as the new President. With her vision and expertise, Professor Dizdarevic aims to elevate BNMS to new heights as a leading force in global nuclear medicine.";12/8/25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/BRaEhPWgM3g;BNMS Spring 2025 Highlights | Glasgow;"
From the Cardiac Session, Prostate Cancer Theragnostics, and “What is the Best Tracer for Molecular Brain Tumour Imaging?” to Cutting Edge Research — and so much more still to come.
";Sep-25;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/WW46wm9nPnw;Dr Arum Parthipun on His Nuclear Medicine Career | Spring Meeting 2025 Interview;Join us for an insightful interview with Dr. Arum Parthipun, Consultant Radiologist at the Royal Free London, BNMS Council member, and PSC Committee member. Recorded during the Spring Meeting 2025, Dr. Parthipun shares his background, journey in nuclear medicine, and what makes the Spring Meeting a highlight for him each year. Perfect for anyone interested in nuclear medicine, radiology, and professional development in the field.;2/10/25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/NOPEwPZNn_M;Yamini Mathur on Her Nuclear Medicine Journey | Spring Meeting 2025;"Join us for an insightful interview with Yamini Mathur, Nuclear Medicine Doctor at University College London Hospital. Recorded during the Spring Meeting 2025, Yamini shares her journey in nuclear medicine, what inspires her in the field, and her thoughts on the Spring Meeting.
";22/9/25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/9WAaQRSxUSs;Creating opportunities for collaboration in clinical research including BNMS initiatives;In this insightful session, Dr. Jennifer Young recaps key highlights from previous seminars in the BNMS Research Series and introduces the BNMS Research Champions Network. The webinar focuses on fostering collaboration in clinical research and outlines current and future BNMS initiatives aimed at supporting research engagement across the nuclear medicine community.;11/12/25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/bmVS5Vv7g00;BNMS Multidisciplinary Reporting Webinar – Implementation of REALM in Nuclear Medicine;We are especially grateful to our speakers, Dr David Little (Royal United Hospital) and Dr Emma Owens (Eastbourne District General Hospital), as well as our panel and all attendees, for making the session such a success.;3/12/25;Yes;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/ErcXJpjPKWk;Experience of leading a multi-centre MRT trial - Prof Jonathan Wadsley;Prof Jonathan Wadsley | Experience of Leading a Multi-Centre MRT Trial Tuesday, 13th May 2025In this insightful presentation, Prof Jonathan Wadsley shares his experience of leading a multi-centre UK clinical trial involving molecular radiotherapy (MRT) dosimetry. Using the SELIMETRY trial as a case study, he explores the challenges, key learnings, and practical considerations in standardising dosimetry across multiple centres.;27/11/25;No;Events;Videos;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
https://youtu.be/fCj_ML87Rrw;Multidisciplinary Reporting Webinar Series – Radiographer Experiences of Nuclear Medicine Reporting;In this insightful session from the BNMS Multidisciplinary Reporting Webinar Series, our expert speakers share their experiences and reflections on radiographer-led nuclear medicine reporting. Through real-world case studies, error review discussions, and practical competency insights, the webinar aims to enhance confidence and accuracy in nuclear medicine reporting practice.;5/11/25;Yes;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/ZMIbC97HY_c;Dr. Juliana Maynard – Working Strategically Across Research Councils;In this insightful webinar, Dr. Juliana Maynard explores the importance of cross-council collaboration in research, highlighting the benefits of partnership working at a national level. She discusses strategies to enhance collaboration effectiveness, the role of evaluation in improving partnerships, and how coordinated efforts across research councils can drive impactful outcomes.;15/9/25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
https://youtu.be/vBBFPLaAmdk;New Opportunities in Cardiac Molecular Imaging | Dr Richard Southworth | BNMS Webinar 9 Sept 2025;"In this session, Dr Richard Southworth explores new opportunities for cardiac molecular imaging in the era of Total Body PET. The webinar covers the thought processes and practicalities involved in:
";Sep-25;No;Events;Videos;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/2SOpelNo9RI;NIHR Funding for Clinical Trials and Studies in MRT - Dr Ian Newington;"Tuesday 11th February 2025 - Dr Ian Newington, NIHR Funding for Clinical Trials and Studies in MRT
Aim: To provide an overview of the funding and support available from NIHR that could support research studies in MRT.";20/8/25;No;Events;Videos;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
https://youtu.be/cz_218qYxSs;Implementation of new radionuclides in clinical trials in the UK - Prof Jane Sosabowski;"An overview of the steps required to bring novel targeted alpha therapies into clinical practice.
Challenges and opportunities in advancing radionuclide-based treatments.
Insights into the regulatory and logistical aspects of clinical trials in the UK.
This talk is a must-watch for researchers, clinicians, and anyone interested in the future of targeted alpha therapies in medicine.";Jul-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://youtu.be/S6F8EqBVEN4;The Challenges of Producing Radiopharmaceuticals for Research Trials - Dr. Maggie Cooper;Join Dr. Maggie Cooper as she explores the critical challenges involved in producing radiopharmaceuticals for research trials. In this session, Dr. Cooper provides valuable insights into the validation processes required to enable a new radiopharmaceutical to be manufactured for clinical trials;Jun-25;No;Events;Videos;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
https://youtu.be/yx5QNGiLr18;BNMS Research webinar -  Navigating the Regulatory Requirements to Imaging Research- Prof Gary Cook;"BNMS Research webinar series- Tuesday 12th November 2024 - Prof Gary Cook, Navigating the Regulatory Requirements to Imaging Research
Aim: To provide a roadmap for navigating nuclear medicine imaging research regulatory applications in England";27/5/25;No;Events;Videos;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=bSTrHmdaisI&list=PLjFEVVfFws0SqTGofqlqN13V4Q91W7luR;BNMS Talk - Lungs;Internationally renowned teacher and practitioner, Professor John Buscombe from Cambridge, gives an extensive and modern overview of nuclear medicine pulmonary imaging, including the findings and utility of nuclear medicine imaging in COVID-19 imaging;15-Feb-21;No;Working in NM;Videos;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=9nKbfVDP-8U&list=PLjFEVVfFws0RM55Ey-Uo1mIqwXNGH_6na;BNMS CT Anatomy Primer for PET CT and SPECT CT;This is the introductory talk for the CT Anatomy section of the BNMS YouTube channel from Dr Simon Hughes. This talk takes 37 mins and quickly reviews the way CT acquisitions are acquired by the scanner and reconstructed;Feb-21;No;Working in NM;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.youtube.com/watch?v=OX4dZm3WinU&list=PLjFEVVfFws0RM55Ey-Uo1mIqwXNGH_6na&index=2;BNMS The Brain - Part 2;This BNMS talk is part 2 of the applied anatomy of the brain. This is part of the applied anatomy course for PETCT and SPECTCT reporting from Dr Simon Hughes; 9 Feb 2021;No;Working in NM;Videos;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
https://www.youtube.com/watch?v=fjquMFbiLvk&list=PLjFEVVfFws0RM55Ey-Uo1mIqwXNGH_6na&index=3;BNMS The Brain - Part 1;This BNMS talk is the first part of the brain applied anatomy course for PETCT and SPECTCT reporting from Dr Simon Hughes.;  8 Feb 2021;No;Working in NM;Videos;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
https://www.youtube.com/watch?v=0MbJcfVIrTs&list=PLjFEVVfFws0RM55Ey-Uo1mIqwXNGH_6na&index=5;Base of the Skull: cranial nerves foramina orbit inner ear - Part 1;Video provided by Dr Simon Hughes, University Hospitals Birmingham;Feb-22;No;Working in NM;Videos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
